t_0,u_0,t_E,pi_E_N,pi_E_E,ftot,fb_frac,loglike
2453630.414239644,-0.42357898855724185,105.07164277818333,-0.28261067062683676,0.11933965058176865,187.2143446792553,0.06435185485087708,-480.2239670925764
2453630.4385442147,-0.4086144846668329,106.13568013399318,-0.24271279390788392,0.10751390565423058,187.12243023377926,0.10837449642539172,-480.2009880877504
2453630.7900001127,-0.4217447800217039,113.37811708459179,-0.34428434041021216,0.1143741149405677,187.12195174592875,0.06907166185327272,-480.1843353087795
2453631.5511131007,-0.41650128807859266,111.97978343783392,-0.3309980824820429,0.13190185005382327,187.28980450408616,0.08890982329306636,-480.18351576829275
2453630.8121545305,-0.409393093794691,117.47358966686252,-0.3584449306790152,0.12403997167859948,187.23199653632315,0.11337669382743455,-480.1747016911446
2453631.200407061,-0.3999105695516878,118.97578274189385,-0.3418874785625628,0.12225729883753755,186.9165925891691,0.14051557562101719,-480.15221944778034
2453630.396477181,-0.3879165422934032,114.2476687686019,-0.2832338295325814,0.11158335418152276,187.015705535653,0.17434403527680384,-480.1488681758824
2453630.898042174,-0.4184532762390416,110.68375993217333,-0.30588487294534983,0.11191807587620906,186.90141113694978,0.08405405301324763,-480.1076936240921
2453630.7752336673,-0.4039398584403948,115.93468696952421,-0.3318990009579409,0.1265535117806298,187.10941401171073,0.13232144075816468,-480.09087866308266
2453630.709893627,-0.4302535769309317,109.25316883854421,-0.3333629797735596,0.11594111184171829,187.30517127487886,0.04720532635798459,-480.09040472622524
2453630.3256145893,-0.3974611075076945,110.36318208825604,-0.2692732527470308,0.10032650856960912,187.0631127157356,0.1480463737998568,-480.08584187563275
2453631.008366523,-0.4280404128263262,108.8704768922468,-0.33304687634485974,0.13488487867606636,187.26873722319613,0.05441734905221458,-480.07750355335975
2453630.6117578098,-0.41090043285714584,108.88089484522759,-0.3001453312900276,0.12160227902058784,187.1597160988169,0.1024858439298469,-480.0730090884713
2453630.7721389993,-0.4417726493802504,109.69011856594598,-0.3300433524835201,0.10033300774397036,187.16851459690236,0.01539407822491613,-480.0353941160376
2453631.3201757073,-0.40507543534720125,117.34783846207266,-0.3432448380702967,0.1228714221080015,187.24347667497142,0.12951568198394767,-480.0257322984813
2453631.088840876,-0.4167024843346633,111.13700034948391,-0.31021473930532967,0.10519050655003759,187.2405015605604,0.08585584512470579,-480.0227998823524
2453630.284870804,-0.402974453603678,113.67365484240025,-0.284734420643902,0.08435906110232883,186.96839916282832,0.13424837924597094,-479.9659879782787
2453631.241333354,-0.41977833971883083,113.88330893390302,-0.34559783603720945,0.12994277099780494,187.29645452197965,0.0856828840964227,-479.9631460338054
2453631.39460096,-0.42389580323447473,115.5950464922781,-0.35038960049647566,0.11170628698000284,187.19108116079735,0.07046882764944228,-479.952498293966
2453630.4106173245,-0.4267233781819263,109.82134530655838,-0.32539903228405864,0.12378060417112635,187.34624183779283,0.06255133028621822,-479.92586779384976
2453630.0394886113,-0.4193530333082759,106.6763344465587,-0.26294559493230857,0.08879286021204391,187.2301199891728,0.08154266623374902,-479.92384380028045
2453630.570255227,-0.4122909221321238,106.60661646888558,-0.27065541291882655,0.12161957485833175,187.13904005351625,0.09718556053279903,-479.9218589743776
2453631.0938633676,-0.4293306747976765,106.25407816235604,-0.28959965569930235,0.12034858468273779,187.0942988176937,0.04989262783193204,-479.8931094880054
2453630.9019336076,-0.4249948279742587,109.3501857582175,-0.3278968299864754,0.1363062773832483,187.29007923670702,0.0667221126977709,-479.878223231004
2453629.917462588,-0.41795575115968653,102.46361532410204,-0.203627867962827,0.09298098609914451,187.15711079790006,0.0875960307067543,-479.87033298075835
2453630.666599704,-0.40605347706011574,111.0946618180015,-0.28339187942546606,0.10468926852168348,187.0437041878853,0.1270170708929817,-479.85867427168404
2453630.210577794,-0.3958992122310475,113.94302129322843,-0.3095675035901361,0.11505862243524922,187.10159220429563,0.14942911740209752,-479.8241921279682
2453630.4084668914,-0.38397335587799497,113.20051571345712,-0.2695974120320509,0.11044707067249648,187.07137847949411,0.18931450586532164,-479.82019589257857
2453630.157673785,-0.4104136449839877,114.16323647637985,-0.31187522677447044,0.09526626215900247,187.02566053562919,0.11107749010884815,-479.8181873461142
2453630.4620799646,-0.4126827383331656,108.55027036191002,-0.26504552890152494,0.11112572219284922,187.0270302429033,0.10605015373033838,-479.7951456086639
2453630.8672423637,-0.4039890528073259,115.5883929052906,-0.33712055359702986,0.11839691181052048,187.11895282749867,0.13145357075968178,-479.75253985798014
2453630.710084509,-0.4285408063271149,113.32044914796991,-0.3660757124832076,0.12541998294985535,187.11630200616534,0.05135091686137935,-479.7174701560984
2453630.4816098106,-0.4002840779819926,113.97623661232893,-0.31212699994307647,0.10008897520136584,187.25566206160966,0.13718846004811153,-479.70888023585303
2453630.453292756,-0.4044595851461913,111.56882648579523,-0.2836780817519314,0.09817608152415813,187.21013534718537,0.13365281362978082,-479.6995883738316
2453631.5234362683,-0.43078975141061016,111.78743737981836,-0.34192964314122426,0.11876808292506891,187.28055816690727,0.04538208765297084,-479.69847001473056
2453630.8396743806,-0.4434060677957524,105.58390365328992,-0.28480291056863216,0.11229661940770896,187.15656883390486,0.009987942240478383,-479.6826747514229
2453630.590248213,-0.44472833790644706,105.56935492701155,-0.2999905482414699,0.10100391896171002,187.27547926110412,0.0006829966738301505,-479.67277004193994
